sub	hand	coherence	block	trial	stim	resp	RT	include
99	1	1	4	11	0	1	501	0
99	1	1	4	12	1	0	1271	0
99	1	1	4	13	1	1	485	0
99	1	1	4	14	1	1	485	0
99	1	1	4	15	0	0	569	0
99	1	1	4	16	1	1	468	1
99	1	1	4	17	0	0	535	1
99	1	1	4	18	0	0	702	1
99	1	1	4	19	0	0	501	1
99	1	1	4	20	0	0	486	1
99	1	1	4	21	1	1	635	1
99	1	1	4	22	1	1	618	1
99	1	1	4	23	0	1	518	0
99	1	1	4	24	1	1	1271	0
99	1	1	4	25	0	0	535	0
99	1	1	4	26	1	1	535	0
99	1	1	4	27	0	1	535	0
99	1	1	4	28	1	0	636	0
99	1	1	4	29	1	1	602	0
